scenario,sim_time,day_time,tech_queue_length,station_queue_length,techs_busy,techs_idle,stations_busy,stations_idle,generated_at
base run,325,Day 13 - Sunday 13:00,3,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,330,Day 13 - Sunday 18:00,3,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,335,Day 13 - Sunday 23:00,3,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,340,Day 14 - Monday 04:00,3,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,345,Day 14 - Monday 09:00,6,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,350,Day 14 - Monday 14:00,6,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,355,Day 14 - Monday 19:00,6,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,360,Day 15 - Tuesday 00:00,6,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,365,Day 15 - Tuesday 05:00,6,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,370,Day 15 - Tuesday 10:00,6,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,375,Day 15 - Tuesday 15:00,6,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,380,Day 15 - Tuesday 20:00,6,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,385,Day 16 - Wednesday 01:00,6,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,390,Day 16 - Wednesday 06:00,6,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,395,Day 16 - Wednesday 11:00,7,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,400,Day 16 - Wednesday 16:00,7,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,405,Day 16 - Wednesday 21:00,7,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,410,Day 17 - Thursday 02:00,7,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,415,Day 17 - Thursday 07:00,8,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,420,Day 17 - Thursday 12:00,9,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,425,Day 17 - Thursday 17:00,9,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,430,Day 17 - Thursday 22:00,9,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,435,Day 18 - Friday 03:00,9,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,440,Day 18 - Friday 08:00,12,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,445,Day 18 - Friday 13:00,12,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,450,Day 18 - Friday 18:00,12,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,455,Day 18 - Friday 23:00,12,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,460,Day 19 - Saturday 04:00,12,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,465,Day 19 - Saturday 09:00,12,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,470,Day 19 - Saturday 14:00,12,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,475,Day 19 - Saturday 19:00,12,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,480,Day 20 - Sunday 00:00,12,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,485,Day 20 - Sunday 05:00,12,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,490,Day 20 - Sunday 10:00,12,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,495,Day 20 - Sunday 15:00,12,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,500,Day 20 - Sunday 20:00,12,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,505,Day 21 - Monday 01:00,12,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,510,Day 21 - Monday 06:00,12,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,515,Day 21 - Monday 11:00,16,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,520,Day 21 - Monday 16:00,17,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,525,Day 21 - Monday 21:00,17,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,530,Day 22 - Tuesday 02:00,17,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,535,Day 22 - Tuesday 07:00,17,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,540,Day 22 - Tuesday 12:00,18,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,545,Day 22 - Tuesday 17:00,20,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,550,Day 22 - Tuesday 22:00,20,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,555,Day 23 - Wednesday 03:00,20,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,560,Day 23 - Wednesday 08:00,21,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,565,Day 23 - Wednesday 13:00,22,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,570,Day 23 - Wednesday 18:00,23,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,575,Day 23 - Wednesday 23:00,23,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,580,Day 24 - Thursday 04:00,23,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,585,Day 24 - Thursday 09:00,24,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,590,Day 24 - Thursday 14:00,24,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,595,Day 24 - Thursday 19:00,24,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,600,Day 25 - Friday 00:00,24,1,1,1,1,1,2026-07-15T19:35:44.848382
